"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"161",1984-06-01,8.9,2100,NA,NA,NA,-27255.7579574345,4.35736791267836,2649.13767311049,-172.246360999584,2.268,"sweden"
"162",1984-07-01,8.1,2240,NA,NA,NA,-26542.8720506,2.37,2661,-120.586058555232,2.2832,"sweden"
"163",1984-08-01,7.5,1020,NA,NA,NA,-25842.5200897199,0.200199458029122,2660.82771828584,-79.4645439164241,2.4115,"sweden"
"164",1984-09-01,7.7,-360,NA,NA,NA,-25154.590963683,-1.45969069122607,2653.9203362769,-47.6818170831601,2.415,"sweden"
"165",1984-10-01,7.7,1580,NA,NA,NA,-24478.9735613784,-1.91,2647.01232670055,-24.0378780554401,2.5049,"sweden"
"166",1984-11-01,7.3,1570,NA,NA,NA,-23815.5567716948,-0.844512153646416,2646.8381622842,-7.33272683326405,2.5245,"sweden"
"167",1984-12-01,7.3,2890,NA,NA,NA,-23164.2294835211,0.469172630003688,2660.13231575523,3.63363658336797,2.47,"sweden"
"168",1985-01-01,8.2,2300,NA,NA,NA,-22524.8805857462,0.370000000000001,2693.62925984103,10.061212194456,2.5602,"sweden"
"169",1985-02-01,7.3,30,NA,39620,NA,-21897.3989672591,-2.15252121381383,2754.063467269,13.15,2.659,"sweden"
"170",1985-03-01,8.7,520,NA,34098,NA,-21281.6735169486,-5.50662945841831,2848.16941076652,14.1,2.8045,"sweden"
"171",1985-04-01,8,680,NA,34423,NA,-20677.5931237036,-7.45,2982.68156306099,14.06,2.8033,"sweden"
"172",1985-05-01,7.7,370,NA,38021,NA,-20085.046676413,-6.44318076887605,3164.3343968798,14.23,2.5948,"sweden"
"173",1985-06-01,8.2,430,NA,37972,NA,-19503.9230639656,-3.758210351886,3399.86238495034,15.6,2.615,"sweden"
"174",1985-07-01,8.1,3800,NA,51214,NA,-18934.1111752504,-1.37,3696,15.5,2.5721,"sweden"
"175",1985-08-01,7.7,1060,NA,54415,NA,-18375.4998991563,-0.734755710681991,4055.58209070655,14.11,2.406,"sweden"
"176",1985-09-01,6.9,-30,NA,49873,NA,-17827.9781245721,-1.23386246737104,4465.84500954931,14.24,2.2962,"sweden"
"177",1985-10-01,6.7,1510,NA,47745,NA,-17291.4347403868,-1.73,4910.12548495796,14.53,2.3359,"sweden"
"178",1985-11-01,6.8,1750,NA,51627,NA,-16765.7586354891,-1.36594453654414,5371.76024536219,13.67,2.1692,"sweden"
"179",1985-12-01,6.9,3710,NA,49819,NA,-16250.8386987681,-0.404858297148368,5834.0860191917,13.06,2.1306,"sweden"
"180",1986-01-01,5.6,2000,NA,44644,NA,-15746.5638191126,0.61,6280.43953487617,12.15,2.1042,"sweden"
"181",1986-02-01,6.2,1360,NA,46370,NA,-15252.8228854115,1.26594126426596,6694.15752084531,12.08,2.066,"sweden"
